DEBUG flwr 2023-12-19 14:28:37,764 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:37,880 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:37,884 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:37,884 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:37,886 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:37,981 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:37,985 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:37,986 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:37,988 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:38,059 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:38,063 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:38,063 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:38,065 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:38,084 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:38,088 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:38,088 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:38,092 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:38,092 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:38,096 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:38,096 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:38,099 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:38,147 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
DEBUG flwr 2023-12-19 14:28:38,151 | connection.py:39 | ChannelConnectivity.IDLE
DEBUG flwr 2023-12-19 14:28:38,151 | connection.py:39 | ChannelConnectivity.CONNECTING
DEBUG flwr 2023-12-19 14:28:38,154 | connection.py:39 | ChannelConnectivity.READY
INFO flwr 2023-12-19 14:28:38,222 | grpc.py:50 | Opened insecure gRPC connection (no certificates were passed)
